# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_upstream_gene_variant
CTNNA2	CTNNA2	NM_001282597.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
CTNNAL1	CTNNAL1	NM_003798.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CTNNBL1	CTNNBL1	NM_030877.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CTTN	CTTN	NM_005231.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CUL2	CUL2	NM_003591.4	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	1
CUX2	CUX2	NM_015267.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CWF19L2	CWF19L2	NM_152434.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CYP20A1	CYP20A1	NM_177538.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CYP2E1	CYP2E1	NM_000773.4	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
CYP4X1	CYP4X1	NM_178033.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CYRIA	CYRIA	NM_030797.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CYSTM1	CYSTM1	NM_032412.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CYTH3	CYTH3	NM_004227.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
D2HGDH	D2HGDH	NM_152783.5	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
DACH1	DACH1	NM_080759.6	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1
DARS2	DARS2	NM_018122.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DBR1	DBR1	NM_016216.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DCAF1	DCAF1	NM_001387579.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DCAF17	DCAF17	NM_025000.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DCAF4L1	DCAF4L1	NM_001029955.4	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DCAF6	DCAF6	NM_001198956.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DCAF8	DCAF8	NM_015726.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DCC	DCC	NM_005215.4	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
DDX6	DDX6	NM_004397.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DEAF1	DEAF1	NM_021008.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DEDD	DEDD	NM_032998.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEFB123	DEFB123	NM_153324.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
DENND2A	DENND2A	NM_015689.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DENND2C	DENND2C	NM_001256404.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DENND4C	DENND4C	NM_001330640.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DENND5A	DENND5A	NM_015213.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DENND5B	DENND5B	NM_144973.4	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	2	0	0	0
DENR	DENR	NM_003677.5	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEPDC5	DEPDC5	NM_001242896.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DEPTOR	DEPTOR	NM_022783.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DESI2	DESI2	NM_016076.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DGKG	DGKG	NM_001346.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DGLUCY	DGLUCY	NM_001102368.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DHCR7	DHCR7	NM_001360.3	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DHRS7B	DHRS7B	NM_015510.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DHRSX	DHRSX	NM_145177.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DHTKD1	DHTKD1	NM_018706.7	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DHX57	DHX57	NM_198963.3	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0
DIAPH3	DIAPH3	NM_001042517.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DIP2A	DIP2A	NM_015151.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
DIP2C	DIP2C	NM_014974.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DIRAS3	DIRAS3	NM_004675.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DISC1	DISC1	NM_018662.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DLC1	DLC1	NM_182643.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1
DLD	DLD	NM_000108.5	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
DLG2	DLG2	NM_001142699.3	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
DLG4	DLG4	NM_001321075.3	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DLGAP1	DLGAP1	NM_004746.4	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0
DLGAP3	DLGAP3	NM_001080418.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
DLGAP4	DLGAP4	NM_001365621.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DMD	DMD	NM_004006.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
DMRT1	DMRT1	NM_021951.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DMXL2	DMXL2	NM_001378457.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DNA2	DNA2	NM_001080449.3	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	1
DNAH10	DNAH10	NM_001372106.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
DNAH17	DNAH17	NM_173628.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
DNAH9	DNAH9	NM_001372.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
DNAI2	DNAI2	NM_023036.6	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
DNAI7	DNAI7	NM_018272.5	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
DNAJB4	DNAJB4	NM_007034.5	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
DNAJB6	DNAJB6	NM_058246.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
DNAJC10	DNAJC10	NM_018981.4	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DNAJC16	DNAJC16	NM_015291.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DNAJC17	DNAJC17	NM_018163.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DNAJC28	DNAJC28	NM_001040192.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DNAJC5	DNAJC5	NM_025219.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DNAJC7	DNAJC7	NM_003315.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DNPEP	DNPEP	NM_012100.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DOCK1	DOCK1	NM_001290223.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
DOCK10	DOCK10	NM_014689.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DOCK3	DOCK3	NM_004947.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DOCK4	DOCK4	NM_001363540.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DOCK5	DOCK5	NM_024940.8	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
DPF3	DPF3	NM_001280542.3	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
DPP10	DPP10	NM_020868.6	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
DPP6	DPP6	NM_130797.4	protein_coding	0	1	0	8	0	0	0	0	0	0	0	0	9	1	0	0
DPRX	DPRX	NM_001012728.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DPYD	DPYD	NM_000110.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DRAM1	DRAM1	NM_018370.3	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	2	0	0	0
DRG1	DRG1	NM_004147.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DSCAML1	DSCAML1	NM_020693.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DSP	DSP	NM_004415.4	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
DTWD2	DTWD2	NM_173666.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DUSP8	DUSP8	NM_004420.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
DYM	DYM	NM_001353214.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
DYNC1LI2	DYNC1LI2	NM_006141.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DYNLT1	DYNLT1	NM_006519.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DYRK1A	DYRK1A	NM_001347721.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
DZIP1	DZIP1	NM_198968.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
E2F3	E2F3	NM_001949.5	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ECHDC1	ECHDC1	NM_001002030.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
EDNRB	EDNRB	NM_001122659.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EEF1AKMT2	EEF1AKMT2	NM_212554.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EEIG2	EEIG2	NM_001010883.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
EFCAB13	EFCAB13	NM_152347.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EFCAB2	EFCAB2	NM_032328.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EFCAB5	EFCAB5	NM_198529.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
EFCAB6	EFCAB6	NM_022785.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EFHD1	EFHD1	NM_025202.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EFHD2	EFHD2	NM_024329.6	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
EHD2	EHD2	NM_014601.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EHMT1	EHMT1	NM_024757.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EID2	EID2	NM_153232.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
EID2B	EID2B	NM_152361.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
EIF2AK3	EIF2AK3	NM_004836.7	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
EIF4G3	EIF4G3	NM_001391906.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ELAVL1	ELAVL1	NM_001419.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ELF1	ELF1	NM_172373.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ELFN2	ELFN2	NM_052906.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ELL	ELL	NM_006532.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ELMO1	ELMO1	NM_014800.11	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ELN	ELN	NM_000501.4	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
ELOA	ELOA	NM_003198.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ELOVL7	ELOVL7	NM_024930.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ELP2	ELP2	NM_018255.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ELP3	ELP3	NM_018091.6	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ELP4	ELP4	NM_019040.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EMC1	EMC1	NM_015047.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EML4	EML4	NM_019063.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EMX1	EMX1	NM_004097.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENC1	ENC1	NM_003633.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ENDOD1	ENDOD1	NM_015036.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENG	ENG	NM_001114753.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ENPP2	ENPP2	NM_001040092.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ENTPD5	ENTPD5	NM_001249.5	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1
ENTPD6	ENTPD6	NM_001247.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EP300	EP300	NM_001429.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EPB41	EPB41	NM_001376013.1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
EPB41L4A	EPB41L4A	NM_022140.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EPDR1	EPDR1	NM_017549.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EPHX2	EPHX2	NM_001979.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ERBB2	ERBB2	NM_004448.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ERBB3	ERBB3	NM_001982.4	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
ERC1	ERC1	NM_178040.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ERF	ERF	NM_006494.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ERG	ERG	NM_182918.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ERGIC1	ERGIC1	NM_001031711.3	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
ERGIC3	ERGIC3	NM_015966.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ERICH5	ERICH5	NM_173549.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ERN1	ERN1	NM_001433.5	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ERVFRD-1	ERVFRD-1	NM_207582.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ESR1	ESR1	NM_000125.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ESRP1	ESRP1	NM_017697.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ESRRB	ESRRB	NM_001379180.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ESYT2	ESYT2	NM_001367773.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
EVA1B	EVA1B	NM_001304762.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
EVA1C	EVA1C	NM_058187.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EVI5	EVI5	NM_001350197.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EXD2	EXD2	NM_001193360.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EXOC2	EXOC2	NM_018303.6	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
EXOC4	EXOC4	NM_021807.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EXOC6	EXOC6	NM_019053.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EXT2	EXT2	NM_207122.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
EXTL3	EXTL3	NM_001440.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EYS	EYS	NM_001142800.2	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0
EZH1	EZH1	NM_001991.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
EZH2	EZH2	NM_004456.5	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
F2RL3	F2RL3	NM_003950.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FAAP100	FAAP100	NM_025161.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FAF1	FAF1	NM_007051.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
FAM110B	FAM110B	NM_001377989.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FAM117B	FAM117B	NM_173511.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FAM120B	FAM120B	NM_032448.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FAM13B	FAM13B	NM_001385994.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FAM161A	FAM161A	NM_001201543.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FAM161B	FAM161B	NM_152445.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FAM168A	FAM168A	NM_015159.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FAM178B	FAM178B	NM_001122646.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FAM184A	FAM184A	NM_024581.6	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
FAM186A	FAM186A	NM_001145475.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FAM220A	FAM220A	NM_001037163.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FAM76A	FAM76A	NM_152660.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FANCA	FANCA	NM_000135.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FANCG	FANCG	NM_004629.2	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FAR1	FAR1	NM_032228.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FBN2	FBN2	NM_001999.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FBN3	FBN3	NM_032447.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FBXL20	FBXL20	NM_032875.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FBXL7	FBXL7	NM_012304.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FBXO16	FBXO16	NM_172366.4	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1
FBXO42	FBXO42	NM_018994.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FBXW10	FBXW10	NM_001267585.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FCGR2B	FCGR2B	NM_001394477.1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FCHSD2	FCHSD2	NM_014824.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FCRL6	FCRL6	NM_001004310.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FGD4	FGD4	NM_001370298.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
FGD6	FGD6	NM_018351.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
FGF12	FGF12	NM_004113.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FGF2	FGF2	NM_001361665.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FGF20	FGF20	NM_019851.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FGFR1	FGFR1	NM_023110.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FGFR2	FGFR2	NM_000141.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FGFR2	FGFR2	NM_022970.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FGL1	FGL1	NM_004467.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FHIP2B	FHIP2B	NM_022749.7	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FHIT	FHIT	NM_002012.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
FHL3	FHL3	NM_004468.5	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FIG4	FIG4	NM_014845.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FILIP1L	FILIP1L	NM_001387850.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
FLRT2	FLRT2	NM_013231.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FLT3	FLT3	NM_004119.3	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
FMN2	FMN2	NM_020066.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FMNL2	FMNL2	NM_052905.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FNDC3A	FNDC3A	NM_001079673.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FOXB1	FOXB1	NM_012182.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FOXF2	FOXF2	NM_001452.2	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
FOXK2	FOXK2	NM_004514.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FOXP1	FOXP1	NM_001349338.3	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
FPR3	FPR3	NM_002030.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FRAS1	FRAS1	NM_025074.7	protein_coding	0	0	0	4	0	0	0	0	0	0	1	0	3	0	0	0
FRMD4A	FRMD4A	NM_018027.5	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
FRMD4B	FRMD4B	NM_015123.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FRMD5	FRMD5	NM_032892.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FRYL	FRYL	NM_015030.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FSTL1	FSTL1	NM_007085.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FSTL4	FSTL4	NM_015082.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FUT8	FUT8	NM_001371533.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FXN	FXN	NM_000144.5	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
FZD3	FZD3	NM_017412.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FZD6	FZD6	NM_003506.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
GAB2	GAB2	NM_080491.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
GABBR2	GABBR2	NM_005458.8	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
GADD45B	GADD45B	NM_015675.4	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
GADL1	GADL1	NM_207359.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
GAK	GAK	NM_005255.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
GALNT10	GALNT10	NM_198321.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
GALNT13	GALNT13	NM_052917.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
GALNT17	GALNT17	NM_022479.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
GALNT2	GALNT2	NM_004481.5	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
GAREM2	GAREM2	NM_001168241.2	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
GBE1	GBE1	NM_000158.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
